Respondent_ID,Gender,Age_Group,Political_Party,Education_Level,Race_Ethnicity,Economic_View,Unity_View,Financial_Status,Registered_Voter,Voted_in_2024
18408,A woman,30-49,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
5945,A woman,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
16607,A woman,50-64,Refused/Web blank,H.S. graduate or less,Black non-Hispanic,Good,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
10500,A man,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
16442,A woman,30-49,Republican,Some College,Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,No,No
13114,A woman,50-64,Republican,College graduate+,Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,Yes
4142,A woman,65+,Republican,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,No,No
812,A man,30-49,Independent,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,No
10250,A woman,50-64,Republican,H.S. graduate or less,White non-Hispanic,Poor,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
3716,A man,30-49,Refused/Web blank,Refused,Refused,Excellent,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Refused/Web blank,Refused/Web blank
9247,A man,18-29,Independent,Some College,Hispanic,Poor,Americans are divided when it comes to the most important values,Live comfortably,No,Yes
14233,A man,65+,Independent,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
13255,A man,50-64,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
1564,A woman,65+,Democrat,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
780,A man,30-49,Independent,College graduate+,Black non-Hispanic,Excellent,Americans are divided when it comes to the most important values,Live comfortably,No,No
11181,A woman,65+,Republican,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
5145,A man,65+,Independent,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
16368,A man,30-49,Democrat,Some College,Black non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,Yes
14782,A man,65+,Independent,H.S. graduate or less,Other,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
3017,A man,65+,Democrat,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
7158,A man,65+,Republican,College graduate+,White non-Hispanic,Excellent,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
14402,A woman,18-29,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
13349,A man,65+,Democrat,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
14373,A woman,30-49,Independent,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
6489,A woman,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
11684,A woman,30-49,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,No
17455,A man,50-64,Republican,H.S. graduate or less,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1698,A woman,50-64,Republican,Some College,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
2820,A woman,18-29,Democrat,Some College,Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,No
11520,A man,50-64,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1644,A woman,50-64,Independent,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
533,A man,50-64,Something else,H.S. graduate or less,Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,No
12802,A woman,18-29,Democrat,College graduate+,Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
15977,A man,30-49,Republican,College graduate+,Asian non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
7189,A man,65+,Republican,College graduate+,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
17593,A man,65+,Republican,College graduate+,Hispanic,Poor,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
11126,A man,50-64,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1641,A man,30-49,Republican,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,No
7003,A woman,18-29,Democrat,Some College,Other,Poor,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,No
12054,A man,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
7351,A woman,30-49,Independent,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8105,A woman,50-64,Democrat,College graduate+,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
8341,A woman,30-49,Independent,H.S. graduate or less,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,No,No
15215,A man,50-64,Independent,H.S. graduate or less,Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
11677,A woman,65+,Democrat,Refused,Hispanic,Poor,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
17186,A man,30-49,Republican,College graduate+,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5402,A man,50-64,Republican,College graduate+,White non-Hispanic,Excellent,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8272,A woman,65+,Republican,College graduate+,Asian non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5899,A woman,50-64,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
8863,A man,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
17450,A man,65+,Republican,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,No,No
17434,A woman,65+,Democrat,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
2616,A woman,30-49,Republican,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
14436,A man,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
10828,A woman,65+,Democrat,College graduate+,Black non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
8391,A woman,18-29,Independent,Some College,Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
8108,A man,50-64,Democrat,H.S. graduate or less,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
5136,A woman,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
1220,A woman,30-49,Independent,College graduate+,Other,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
503,A man,30-49,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
301,A man,50-64,Republican,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
3930,A man,65+,Republican,College graduate+,White non-Hispanic,Excellent,Americans are united when it comes to the most important values,Live comfortably,Yes,No
16916,A man,50-64,Independent,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
18133,A man,65+,Independent,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
456,A woman,65+,Independent,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
16837,A woman,30-49,Refused/Web blank,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Not sure,No
6610,A man,65+,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
5636,A woman,65+,Something else,Some College,Black non-Hispanic,Only fair,Refused/Web blank,Live comfortably,No,No
3637,A woman,65+,Independent,H.S. graduate or less,Black non-Hispanic,Good,Americans are united when it comes to the most important values,Just meet my basic expenses,No,Yes
16193,A man,65+,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
9738,A woman,50-64,Republican,Some College,White non-Hispanic,Poor,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
7179,A man,30-49,Independent,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
2499,A man,18-29,Republican,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,No
8130,A woman,50-64,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,No
4329,A woman,30-49,Democrat,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
12611,A woman,50-64,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
80,A woman,18-29,Independent,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
18510,A woman,65+,Democrat,H.S. graduate or less,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1625,A woman,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
17184,A woman,Refused,Something else,College graduate+,Refused,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
2631,A woman,30-49,Something else,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
189,A woman,50-64,Republican,College graduate+,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
13929,A man,30-49,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
9655,A woman,50-64,Refused/Web blank,H.S. graduate or less,Hispanic,Poor,Americans are united when it comes to the most important values,Just meet my basic expenses,No,No
2325,A man,50-64,Independent,College graduate+,Black non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
648,A woman,30-49,Democrat,H.S. graduate or less,Black non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
14586,A woman,30-49,Independent,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
2460,A man,50-64,Democrat,H.S. graduate or less,Black non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
17975,A woman,30-49,Something else,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
13453,A woman,50-64,Something else,H.S. graduate or less,Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,No,Yes
4014,A woman,65+,Democrat,Some College,White non-Hispanic,Excellent,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5491,A man,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
461,A man,30-49,Democrat,College graduate+,Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5446,A woman,65+,Democrat,H.S. graduate or less,Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5357,A woman,18-29,Republican,H.S. graduate or less,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
10833,A man,65+,Republican,H.S. graduate or less,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
9398,A woman,18-29,Democrat,Some College,Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,No
6180,A woman,50-64,Something else,Some College,Refused,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
8956,A woman,30-49,Independent,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
7205,A man,30-49,Independent,H.S. graduate or less,Black non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
3866,A man,30-49,Republican,College graduate+,Other,Good,Americans are united when it comes to the most important values,Live comfortably,No,No
5603,A man,30-49,Democrat,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
18661,A woman,30-49,Independent,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1507,A man,65+,Independent,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
8775,A woman,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8988,A man,65+,Democrat,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
3428,A man,65+,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
3460,A woman,50-64,Republican,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
10841,A man,18-29,Republican,H.S. graduate or less,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,No
14801,A woman,18-29,Democrat,H.S. graduate or less,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,No
3195,A man,30-49,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8043,A woman,30-49,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
5481,A woman,30-49,Something else,College graduate+,Black non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
17330,A woman,65+,Democrat,College graduate+,Asian non-Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
16640,A man,65+,Independent,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
3011,A woman,65+,Democrat,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8646,A woman,18-29,Something else,Some College,Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,No
11199,A man,50-64,Independent,College graduate+,Asian non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8732,A man,30-49,Something else,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,No,No
17343,A man,30-49,Democrat,College graduate+,Asian non-Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
4300,A woman,65+,Republican,H.S. graduate or less,Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
5576,A man,18-29,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
10902,A woman,65+,Refused/Web blank,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,No
5825,A woman,65+,Republican,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,No
11230,A woman,18-29,Democrat,College graduate+,Other,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
14744,A man,50-64,Independent,College graduate+,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
3890,A man,50-64,Independent,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
6547,A woman,65+,Independent,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
5122,A woman,30-49,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
17549,A woman,50-64,Independent,Some College,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,No
15273,A woman,65+,Democrat,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
17405,A woman,65+,Refused/Web blank,College graduate+,White non-Hispanic,Good,Refused/Web blank,Live comfortably,Yes,Yes
13063,A woman,50-64,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
17585,A woman,50-64,Democrat,Some College,Black non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
18706,A man,50-64,Republican,H.S. graduate or less,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
855,A woman,30-49,Democrat,H.S. graduate or less,Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,No
12919,A woman,50-64,Democrat,H.S. graduate or less,Hispanic,Poor,Americans are united when it comes to the most important values,Live comfortably,Yes,No
5970,A woman,65+,Independent,College graduate+,Other,Poor,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
11753,A man,18-29,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
10825,A man,65+,Independent,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
16939,A man,65+,Independent,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
11904,A man,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
17851,A woman,50-64,Democrat,College graduate+,Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
6239,A woman,50-64,Republican,Some College,White non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
7035,A man,65+,Republican,Some College,White non-Hispanic,Excellent,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
78,A man,65+,Something else,College graduate+,Asian non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
10962,A woman,65+,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
610,A man,65+,Refused/Web blank,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
13422,A woman,50-64,Something else,H.S. graduate or less,Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,No,No
17387,A woman,18-29,Republican,College graduate+,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Not sure,No
11163,A woman,50-64,Republican,College graduate+,Asian non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
16776,A man,18-29,Independent,Some College,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,No,No
2221,A woman,65+,Independent,Some College,Black non-Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
925,A man,50-64,Something else,Some College,Asian non-Hispanic,Excellent,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
1635,A man,65+,Democrat,Some College,Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
6272,A woman,30-49,Republican,Some College,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
13098,A man,65+,Republican,Some College,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
12647,A woman,50-64,Independent,Some College,White non-Hispanic,Poor,Americans are united when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,No
16817,A woman,30-49,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
11751,A man,18-29,Independent,Some College,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
7200,A man,65+,Republican,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
14386,A man,18-29,Independent,College graduate+,Hispanic,Only fair,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,No
12734,A man,30-49,Democrat,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
3965,A man,65+,Democrat,H.S. graduate or less,Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
16856,A woman,65+,Republican,College graduate+,White non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
13603,A woman,65+,Republican,H.S. graduate or less,White non-Hispanic,Good,Americans are united when it comes to the most important values,Live comfortably,Yes,Yes
12642,A man,50-64,Democrat,H.S. graduate or less,Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
15768,A man,50-64,Republican,College graduate+,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
13169,A woman,18-29,Republican,Some College,Asian non-Hispanic,Good,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,No,Yes
3121,A woman,18-29,Democrat,College graduate+,Asian non-Hispanic,Good,Americans are divided when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
18026,A man,50-64,Democrat,Some College,Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
12621,A man,30-49,Republican,College graduate+,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
4058,A woman,65+,Democrat,Some College,Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
8965,A man,18-29,Democrat,Some College,Black non-Hispanic,Poor,Americans are divided when it comes to the most important values,Don't even have enough to meet basic expenses,Yes,Yes
56,A woman,50-64,Democrat,H.S. graduate or less,Hispanic,Excellent,Americans are divided when it comes to the most important values,Just meet my basic expenses,Not sure,No
1851,A woman,30-49,Democrat,Some College,Black non-Hispanic,Only fair,Americans are united when it comes to the most important values,Meet my basic expenses with a little left over for extras,Yes,Yes
1085,A man,50-64,Republican,H.S. graduate or less,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Live comfortably,Yes,Yes
16242,A man,65+,Republican,H.S. graduate or less,White non-Hispanic,Only fair,Americans are united when it comes to the most important values,Just meet my basic expenses,Yes,Yes
7769,A woman,30-49,Democrat,Some College,White non-Hispanic,Poor,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
7551,A man,50-64,Independent,Refused,White non-Hispanic,Only fair,Americans are divided when it comes to the most important values,Live comfortably,Refused/Web blank,Yes
18059,A woman,18-29,Democrat,Some College,White non-Hispanic,Good,Americans are divided when it comes to the most important values,Just meet my basic expenses,Yes,Yes
